Source,Target,Type,Id,Weight
mihailaksel,new_totalis,Directed,5682,18
fabric80,beard_tim,Directed,5738,8
ordinaryczarizm,beard_tim,Directed,5742,1
zhivoff,beard_tim,Directed,5767,5
juchkovsky,beard_tim,Directed,5777,1
boriskorchevnikov,beard_tim,Directed,5813,1
dva_majors,new_totalis,Directed,5816,6
zverochan,beard_tim,Directed,5843,7
der_kultur_kampf,beard_tim,Directed,5856,1
nwindpro,beard_tim,Directed,5879,5
i_strelkov_2023,beard_tim,Directed,5910,3
Alekhin_Telega,beard_tim,Directed,5945,4
Andrafanaslive,beard_tim,Directed,5957,3
molotov_perm,beard_tim,Directed,5964,2
obshina_ru,beard_tim,Directed,5981,3
dr_kuban,beard_tim,Directed,6012,1
inter_manufactory_77,beard_tim,Directed,6044,1
zogrussia1,beard_tim,Directed,6045,1
soldat_prav,beard_tim,Directed,6056,2
georgy_fedorov,beard_tim,Directed,6074,1
rossia_3,beard_tim,Directed,6077,1
nbstaroverov,igorvezite,Directed,6078,12
bunkerdayly,igorvezite,Directed,6084,1
sashakots,new_totalis,Directed,6096,4
ghost_of_novorossia,igorvezite,Directed,6097,8
comradepelevin,igorvezite,Directed,6098,1
drugoros_spb,new_totalis,Directed,6106,158
inter_manufactory_77,igorvezite,Directed,6107,1
notes_veterans,new_totalis,Directed,6109,5
comradepelevin,new_totalis,Directed,6121,113
infantmilitario,new_totalis,Directed,6123,21
wargonzo,new_totalis,Directed,6125,11
strelkovii,new_totalis,Directed,6128,14
zhivoff,new_totalis,Directed,6131,1
voenkorKotenok,new_totalis,Directed,6132,4
rusjuche,new_totalis,Directed,6152,116
rusich_army,new_totalis,Directed,6160,2
boriskorchevnikov,new_totalis,Directed,6164,1
brussinf,new_totalis,Directed,6208,1
blackcolonel2020,new_totalis,Directed,6247,2
nbstaroverov,new_totalis,Directed,6258,12
epoddubny,new_totalis,Directed,6274,4
RVvoenkor,new_totalis,Directed,6303,2
Sladkov_plus,new_totalis,Directed,6342,1
ghost_of_novorossia,new_totalis,Directed,6401,4
dr_kuban,new_totalis,Directed,6454,19
KRPRus,new_totalis,Directed,6457,10
pgubarev,new_totalis,Directed,6463,3
rusfleet,new_totalis,Directed,6466,3
nazbol_sar,new_totalis,Directed,6480,9
KRPrus52,new_totalis,Directed,6482,1
i_strelkov_2023,new_totalis,Directed,6507,7
zverochan,new_totalis,Directed,6521,8
drugoros_vrn,new_totalis,Directed,6531,9
soldat_prav,new_totalis,Directed,6536,2
fabric80,new_totalis,Directed,6551,2
Sladkov_plus,voenkorKotenok,Directed,6607,124
chernaya100kitchen,new_totalis,Directed,6623,1
new_totalis,new_totalis,Directed,6632,3
inter_manufactory_77,new_totalis,Directed,6677,2
adirect,dr_kuban,Directed,6678,108
interbrigady2022,dr_kuban,Directed,6682,43
drugoros_spb,dr_kuban,Directed,6684,4
beard_tim,dr_kuban,Directed,6686,2
ghost_of_novorossia,dr_kuban,Directed,6695,4
new_totalis,dr_kuban,Directed,6696,3
notes_veterans,dr_kuban,Directed,6700,1
voenacher,rybar,Directed,6703,183
bunkerdayly,dr_kuban,Directed,6707,2
adirect,molotov_perm,Directed,6708,525
molotov_perm,dr_kuban,Directed,6709,2
rusjuche,dr_kuban,Directed,6711,1
comradepelevin,dr_kuban,Directed,6713,2
nbstaroverov,dr_kuban,Directed,6715,1
fabric80,dr_kuban,Directed,6721,1
interbrigady2022,nbstaroverov,Directed,6722,135
i_strelkov_2023,rusjuche,Directed,6728,5
mihailaksel,molotov_perm,Directed,6732,19
new_totalis,drugoros_spb,Directed,6745,15
bunkerdayly,molotov_perm,Directed,6747,26
beard_tim,molotov_perm,Directed,6748,14
rusjuche,drugoros_spb,Directed,6751,180
nbstaroverov,molotov_perm,Directed,6752,12
strelkovii,molotov_perm,Directed,6766,2
wargonzo,molotov_perm,Directed,6767,4
drugoros_spb,molotov_perm,Directed,6774,48
rusjuche,molotov_perm,Directed,6781,13
sashakots,molotov_perm,Directed,6784,1
ImashevNB,molotov_perm,Directed,6794,47
vladlentatarsky,molotov_perm,Directed,6802,2
interbrigady2022,molotov_perm,Directed,6806,66
ImashevNB,rusjuche,Directed,6808,27
adirect,rusjuche,Directed,6815,201
bunkerdayly,drugoros_spb,Directed,6818,14
dr_kuban,molotov_perm,Directed,6822,3
russia_and_anvil,molotov_perm,Directed,6827,1
new_totalis,molotov_perm,Directed,6828,6
adirect,nazbol_sar,Directed,6832,308
ghost_of_novorossia,molotov_perm,Directed,6833,4
bunkerdayly,nazbol_sar,Directed,6835,11
notes_veterans,molotov_perm,Directed,6838,1
igorvezite,molotov_perm,Directed,6839,1
uralpartisan,molotov_perm,Directed,6840,6
comradepelevin,molotov_perm,Directed,6841,3
fabric80,molotov_perm,Directed,6851,2
drugoros_vrn,molotov_perm,Directed,6867,3
beard_tim,rusjuche,Directed,6868,20
i_strelkov_2023,molotov_perm,Directed,6876,1
molotov_perm,nazbol_sar,Directed,6886,4
interbrigady2022,nazbol_sar,Directed,6887,43
drugoros_spb,nazbol_sar,Directed,6888,34
fabric80,nazbol_sar,Directed,6890,4
beard_tim,nazbol_sar,Directed,6891,2
comradepelevin,rusjuche,Directed,6895,30
ImashevNB,nazbol_sar,Directed,6899,2
rusjuche,nazbol_sar,Directed,6900,4
comradepelevin,nazbol_sar,Directed,6901,4
new_totalis,nazbol_sar,Directed,6903,11
strelkovii,rusjuche,Directed,6907,28
mihailaksel,nazbol_sar,Directed,6909,1
drugoros_vrn,nazbol_sar,Directed,6912,3
drugoros_spb,rusjuche,Directed,6913,126
dr_kuban,nazbol_sar,Directed,6915,3
nbstaroverov,nazbol_sar,Directed,6921,4
adirect,drugoros_vrn,Directed,6924,21
ImashevNB,drugoros_vrn,Directed,6927,1
interbrigady2022,drugoros_vrn,Directed,6929,5
drugoros_spb,drugoros_vrn,Directed,6937,2
voenkorKotenok,rusjuche,Directed,6938,11
fabric80,drugoros_vrn,Directed,6939,1
bunkerdayly,drugoros_vrn,Directed,6941,2
rusjuche,drugoros_vrn,Directed,6942,1
new_totalis,drugoros_vrn,Directed,6943,1
mihailaksel,rusjuche,Directed,6946,11
bunkerdayly,rusjuche,Directed,6948,12
molotov_perm,adirect,Directed,6966,231
nbstaroverov,rusjuche,Directed,6969,15
sashakots,rusjuche,Directed,6977,4
wargonzo,rusjuche,Directed,6987,10
molotov_perm,rusjuche,Directed,6989,4
mihailaksel,nbstaroverov,Directed,6991,9
russia_and_anvil,rusjuche,Directed,7034,11
adirect,drugoros_spb,Directed,7036,222
aleksandr_skif,rusjuche,Directed,7043,1
voenacher,rusjuche,Directed,7047,1
juchkovsky,rusjuche,Directed,7049,4
vladlentatarsky,rusjuche,Directed,7054,3
interbrigady2022,rusjuche,Directed,7066,76
rusfleet,rusjuche,Directed,7072,15
Sladkov_plus,rusjuche,Directed,7079,1
comradepelevin,drugoros_spb,Directed,7091,19
ghost_of_novorossia,rusjuche,Directed,7102,5
pgubarev,rusjuche,Directed,7111,6
new_totalis,rusjuche,Directed,7113,40
uralpartisan,rusjuche,Directed,7122,2
blackcolonel2020,rusjuche,Directed,7124,1
KRPRus,rusjuche,Directed,7154,6
Agdchan,rusjuche,Directed,7162,8
beard_tim,adirect,Directed,7167,121
fabric80,rusjuche,Directed,7170,6
bunkerdayly,adirect,Directed,7174,409
adirect,zverochan,Directed,7175,31
soldat_prav,rusjuche,Directed,7201,1
juchkovsky,adirect,Directed,7206,19
notes_veterans,rusjuche,Directed,7207,1
chernaya100kitchen,rusjuche,Directed,7215,1
dr_kuban,rusjuche,Directed,7219,1
beard_tim,nbstaroverov,Directed,7222,8
drugoros_vrn,rusjuche,Directed,7223,2
inter_manufactory_77,rusjuche,Directed,7234,3
rusfleet,blackcolonel2020,Directed,7238,2
vladlentatarsky,blackcolonel2020,Directed,7240,1
sashakots,blackcolonel2020,Directed,7241,3
drugoros_spb,nbstaroverov,Directed,7242,9
infantmilitario,blackcolonel2020,Directed,7251,1
rybar,nbstaroverov,Directed,7254,2
new_totalis,adirect,Directed,7257,83
dva_majors,blackcolonel2020,Directed,7270,1
ordinaryczarizm,adirect,Directed,7273,9
RVvoenkor,blackcolonel2020,Directed,7298,1
rusfleet,R_Vestovoi,Directed,7302,2
dva_majors,R_Vestovoi,Directed,7303,1
rusjuche,nbstaroverov,Directed,7305,28
wargonzo,nbstaroverov,Directed,7308,6
molotov_perm,nbstaroverov,Directed,7314,6
bunkerdayly,nbstaroverov,Directed,7315,17
strelkovii,nbstaroverov,Directed,7319,1
ordinaryczarizm,nbstaroverov,Directed,7343,2
voenkorKotenok,nbstaroverov,Directed,7344,1
RtrDonetsk,nbstaroverov,Directed,7352,1
ImashevNB,nbstaroverov,Directed,7354,8
voenacher,nbstaroverov,Directed,7356,1
vladlentatarsky,nbstaroverov,Directed,7363,1
georgy_fedorov,nbstaroverov,Directed,7365,1
Alekhin_Telega,nbstaroverov,Directed,7368,1
new_totalis,nbstaroverov,Directed,7370,2
ghost_of_novorossia,nbstaroverov,Directed,7380,8
rusjuche,adirect,Directed,7383,299
notes_veterans,nbstaroverov,Directed,7384,4
Andrafanaslive,nbstaroverov,Directed,7393,1
infantmilitario,nbstaroverov,Directed,7395,1
russia_and_anvil,drugoros_spb,Directed,7406,6
KRPRus,nbstaroverov,Directed,7407,1
igorvezite,nbstaroverov,Directed,7415,29
inter_manufactory_77,nbstaroverov,Directed,7434,1
fabric80,nbstaroverov,Directed,7436,15
soldat_prav,nbstaroverov,Directed,7438,1
comradepelevin,nbstaroverov,Directed,7440,1
mihailaksel,drugoros_spb,Directed,7448,8
nbstaroverov,drugoros_spb,Directed,7463,4
molotov_perm,drugoros_spb,Directed,7467,5
ImashevNB,drugoros_spb,Directed,7485,21
interbrigady2022,drugoros_spb,Directed,7498,17
drugoros_spb,drugoros_spb,Directed,7501,1
beard_tim,drugoros_spb,Directed,7504,4
sashakots,drugoros_spb,Directed,7510,1
ghost_of_novorossia,drugoros_spb,Directed,7523,1
pgubarev,drugoros_spb,Directed,7531,1
KRPRus,drugoros_spb,Directed,7533,1
i_strelkov_2023,drugoros_spb,Directed,7539,1
uralpartisan,drugoros_spb,Directed,7545,1
wargonzo,drugoros_spb,Directed,7559,1
wargonzo,adirect,Directed,7588,97
epoddubny,adirect,Directed,7621,1
new_totalis,zverochan,Directed,7644,13
pgubarev,adirect,Directed,7659,4
beard_tim,zverochan,Directed,7694,46
strelkovii,adirect,Directed,7699,5
Sladkov_plus,adirect,Directed,7710,1
mihailaksel,adirect,Directed,7719,108
comradepelevin,adirect,Directed,7736,78
drugoros_spb,adirect,Directed,7737,327
nbstaroverov,adirect,Directed,7748,77
sashakots,adirect,Directed,7756,8
russdiary,adirect,Directed,7760,1
vladlentatarsky,adirect,Directed,7769,4
georgy_fedorov,adirect,Directed,7778,2
dr_kuban,adirect,Directed,7792,87
rybar,voenkorKotenok,Directed,7799,204
russia_and_anvil,adirect,Directed,7805,5
ImashevNB,adirect,Directed,7807,98
interbrigady2022,adirect,Directed,7808,364
chernaya100kitchen,adirect,Directed,7815,6
RVvoenkor,adirect,Directed,7829,1
voenacher,adirect,Directed,7836,1
rusfleet,adirect,Directed,7851,4
rus_jansen,adirect,Directed,7854,1
uralpartisan,adirect,Directed,7868,23
obshina_ru,adirect,Directed,7871,1
notes_veterans,adirect,Directed,7872,2
voenkorKotenok,adirect,Directed,7886,2
rybar,adirect,Directed,7889,2
ghost_of_novorossia,adirect,Directed,7890,27
igorvezite,adirect,Directed,7903,2
ghost_of_novorossia,zverochan,Directed,7918,3
KRPRus,adirect,Directed,7928,14
fabric80,adirect,Directed,7945,4
nazbol_sar,adirect,Directed,7949,31
i_strelkov_2023,adirect,Directed,7951,12
KRPrus52,adirect,Directed,7963,1
drugoros_vrn,adirect,Directed,7976,42
soldat_prav,adirect,Directed,7983,4
RDS_Official_channel,adirect,Directed,7989,1
inter_manufactory_77,adirect,Directed,7993,22
nwindpro,adirect,Directed,8016,1
strelkovii,zverochan,Directed,8019,3
rusfleet,zverochan,Directed,8027,1
ordinaryczarizm,zverochan,Directed,8045,15
boriskorchevnikov,zverochan,Directed,8047,1
interbrigady2022,zverochan,Directed,8076,13
comradepelevin,zverochan,Directed,8085,9
uralpartisan,zverochan,Directed,8087,1
RVvoenkor,zverochan,Directed,8113,1
der_kultur_kampf,zverochan,Directed,8115,2
rusjuche,zverochan,Directed,8118,2
nbstaroverov,zverochan,Directed,8126,1
wargonzo,voenkorKotenok,Directed,8162,147
zverochan,zverochan,Directed,8167,7
bunkerdayly,zverochan,Directed,8170,6
wargonzo,zverochan,Directed,8171,1
rus_jansen,zverochan,Directed,8177,2
infantmilitario,rybar,Directed,8206,152
dva_majors,zverochan,Directed,8207,1
obshina_ru,zverochan,Directed,8212,3
drugoros_spb,zverochan,Directed,8220,1
i_strelkov_2023,zverochan,Directed,8225,1
zhivoff,zverochan,Directed,8254,5
RtrDonetsk,voenkorKotenok,Directed,8261,82
Alekhin_Telega,zverochan,Directed,8262,1
chernaya100kitchen,zverochan,Directed,8263,1
voenkorKotenok,zverochan,Directed,8265,2
dr_kuban,zverochan,Directed,8283,1
strelkovii,boris975,Directed,8323,8
ordinaryczarizm,boris975,Directed,8367,2
sashakots,juchkovsky,Directed,8384,62
boris975,boris975,Directed,8390,1
juchkovsky,chernaya100kitchen,Directed,8397,40
russia_and_anvil,chernaya100kitchen,Directed,8437,9
vladlentatarsky,chernaya100kitchen,Directed,8467,3
ordinaryczarizm,chernaya100kitchen,Directed,8476,9
pgubarev,chernaya100kitchen,Directed,8479,5
ghost_of_novorossia,chernaya100kitchen,Directed,8490,3
notes_veterans,chernaya100kitchen,Directed,8492,1
strelkovii,chernaya100kitchen,Directed,8494,3
chernaya100kitchen,juchkovsky,Directed,8498,37
vladlentatarsky,juchkovsky,Directed,8501,24
adirect,chernaya100kitchen,Directed,8504,2
pgubarev,juchkovsky,Directed,8538,42
i_strelkov_2023,chernaya100kitchen,Directed,8546,1
juchkovsky,juchkovsky,Directed,8569,1
voenkorKotenok,juchkovsky,Directed,8596,7
Rus_imperia,juchkovsky,Directed,8613,1
strelkovii,juchkovsky,Directed,8615,9
russia_and_anvil,juchkovsky,Directed,8616,5
notes_veterans,juchkovsky,Directed,8617,7
RtrDonetsk,juchkovsky,Directed,8620,3
Andrafanaslive,juchkovsky,Directed,8622,1
aleksandr_skif,juchkovsky,Directed,8631,3
epoddubny,juchkovsky,Directed,8636,16
Alekhin_Telega,juchkovsky,Directed,8645,1
rusich_army,juchkovsky,Directed,8650,2
Sladkov_plus,juchkovsky,Directed,8658,7
ghost_of_novorossia,juchkovsky,Directed,8662,3
ordinaryczarizm,juchkovsky,Directed,8666,4
brussinf,juchkovsky,Directed,8667,1
i_strelkov_2023,juchkovsky,Directed,8685,7
rybar,juchkovsky,Directed,8693,2
KRPRus,juchkovsky,Directed,8703,2
rusfleet,juchkovsky,Directed,8704,1
kartezianec,juchkovsky,Directed,8714,1
romagolovanov,juchkovsky,Directed,8724,1
Agdchan,juchkovsky,Directed,8727,2
infantmilitario,voenkorKotenok,Directed,8729,122
adirect,juchkovsky,Directed,8734,3
soldat_prav,juchkovsky,Directed,8735,1
R_Vestovoi,juchkovsky,Directed,8742,1
tsarkrest,voenkorKotenok,Directed,8772,14
epoddubny,voenkorKotenok,Directed,8782,97
pgubarev,voenkorKotenok,Directed,8829,13
voenkorKotenok,voenkorKotenok,Directed,8924,8
brussinf,voenkorKotenok,Directed,8927,26
rusfleet,voenkorKotenok,Directed,8929,9
kartezianec,voenkorKotenok,Directed,8996,3
Rus_imperia,voenkorKotenok,Directed,9020,1
grey_zone,voenkorKotenok,Directed,9054,4
Andrafanaslive,voenkorKotenok,Directed,9082,6
RVvoenkor,voenkorKotenok,Directed,9146,76
voenacher,voenkorKotenok,Directed,9269,51
romagolovanov,voenkorKotenok,Directed,9274,10
beard_tim,voenkorKotenok,Directed,9275,21
mihailaksel,voenkorKotenok,Directed,9412,1
zhivoff,voenkorKotenok,Directed,9443,11
notes_veterans,voenkorKotenok,Directed,9464,39
rusjuche,voenkorKotenok,Directed,9479,2
kvmalofeev,voenkorKotenok,Directed,9504,1
adirect,voenkorKotenok,Directed,9529,2
strelkovii,voenkorKotenok,Directed,9572,5
Agdchan,voenkorKotenok,Directed,9578,1
obshina_ru,voenkorKotenok,Directed,9702,11
boriskorchevnikov,voenkorKotenok,Directed,9711,4
Alekhin_Telega,voenkorKotenok,Directed,9721,3
rusich_army,voenkorKotenok,Directed,9727,38
R_Vestovoi,voenkorKotenok,Directed,9808,1
dva_majors,voenkorKotenok,Directed,9821,2
interbrigady2022,voenkorKotenok,Directed,9825,1
Sladkov_plus,rybar,Directed,9855,9
rybar,rybar,Directed,9862,699
sashakots,rybar,Directed,9875,229
brussinf,rybar,Directed,9876,152
epoddubny,rybar,Directed,9889,168
wargonzo,rybar,Directed,9934,6
vladlentatarsky,rybar,Directed,9954,70
voenkorKotenok,rybar,Directed,9961,28
grey_zone,rybar,Directed,9977,1
zhivoff,rybar,Directed,10026,7
Andrafanaslive,rybar,Directed,10060,5
beard_tim,rybar,Directed,10122,3
romagolovanov,sashakots,Directed,10167,38
rusfleet,rybar,Directed,10172,6
aleksandr_skif,rybar,Directed,10183,4
ordinaryczarizm,rybar,Directed,10194,1
RtrDonetsk,rybar,Directed,10195,17
juchkovsky,rybar,Directed,10245,1
ghost_of_novorossia,rybar,Directed,10288,1
rus_jansen,rybar,Directed,10302,1
rusich_army,rybar,Directed,10305,126
rossia_3,rybar,Directed,10348,1
dva_majors,rybar,Directed,10355,493
sashakots,voenacher,Directed,10359,242
vladlentatarsky,sashakots,Directed,10360,73
notes_veterans,rybar,Directed,10367,10
wargonzo,sashakots,Directed,10374,313
epoddubny,sashakots,Directed,10407,887
Agdchan,rybar,Directed,10452,1
juchkovsky,sashakots,Directed,10519,35
notes_veterans,dva_majors,Directed,10555,27
rusich_army,dva_majors,Directed,10601,364
dva_majors,dva_majors,Directed,10607,75
sashakots,dva_majors,Directed,10612,8
rybar,dva_majors,Directed,10617,641
voenkorKotenok,dva_majors,Directed,10664,5
voenacher,dva_majors,Directed,10691,38
Sladkov_plus,dva_majors,Directed,10698,10
ghost_of_novorossia,dva_majors,Directed,10699,6
RVvoenkor,dva_majors,Directed,10721,14
vladlentatarsky,dva_majors,Directed,10747,1
pgubarev,dva_majors,Directed,10756,1
RtrDonetsk,dva_majors,Directed,10759,2
rusfleet,dva_majors,Directed,10765,17
strelkovii,dva_majors,Directed,10793,3
comradepelevin,dva_majors,Directed,10801,1
epoddubny,dva_majors,Directed,10818,4
R_Vestovoi,dva_majors,Directed,10822,13
beard_tim,dva_majors,Directed,10839,3
Alekhin_Telega,dva_majors,Directed,10869,232
zhivoff,dva_majors,Directed,10892,37
beard_tim,voenacher,Directed,10926,1
rybar,sashakots,Directed,11017,108
brussinf,dva_majors,Directed,11019,1
aleksandr_skif,sashakots,Directed,11033,21
wargonzo,rusich_army,Directed,11097,2
epoddubny,rusich_army,Directed,11114,3
vladlentatarsky,rusich_army,Directed,11116,2
sashakots,rusich_army,Directed,11119,8
brussinf,rusich_army,Directed,11121,1
RtrDonetsk,rusich_army,Directed,11136,1
rybar,rusich_army,Directed,11143,34
dva_majors,rusich_army,Directed,11148,72
voenacher,rusich_army,Directed,11160,3
RVvoenkor,rusich_army,Directed,11168,1
rusich_army,rusich_army,Directed,11175,4
Andrafanaslive,rusich_army,Directed,11188,1
pgubarev,sashakots,Directed,11243,2
Sladkov_plus,sashakots,Directed,11272,76
brussinf,sashakots,Directed,11323,119
sashakots,sashakots,Directed,11350,31
voenkorKotenok,sashakots,Directed,11351,52
rusfleet,sashakots,Directed,11355,34
infantmilitario,sashakots,Directed,11431,5
RtrDonetsk,sashakots,Directed,11484,270
RVvoenkor,sashakots,Directed,11497,10
boriskorchevnikov,Andrafanaslive,Directed,11535,249
mihailaksel,sashakots,Directed,11537,10
beard_tim,sashakots,Directed,11557,18
voenacher,sashakots,Directed,11614,77
adirect,sashakots,Directed,11618,4
Andrafanaslive,sashakots,Directed,11681,10
notes_veterans,sashakots,Directed,11709,4
epoddubny,brussinf,Directed,11824,55
ImashevNB,sashakots,Directed,11830,1
kvmalofeev,sashakots,Directed,11863,1
dva_majors,sashakots,Directed,11874,4
comradepelevin,sashakots,Directed,11885,1
zhivoff,sashakots,Directed,11898,17
ordinaryczarizm,sashakots,Directed,12000,1
rybar,brussinf,Directed,12020,40
R_Vestovoi,sashakots,Directed,12038,1
voenacher,brussinf,Directed,12058,32
zogrussia1,sashakots,Directed,12084,2
sashakots,brussinf,Directed,12118,103
infantmilitario,brussinf,Directed,12130,4
Sladkov_plus,brussinf,Directed,12155,2
voenkorKotenok,brussinf,Directed,12160,1
RtrDonetsk,voenacher,Directed,12194,11
dva_majors,brussinf,Directed,12199,1
brussinf,brussinf,Directed,12204,5
rusich_army,brussinf,Directed,12207,29
beard_tim,brussinf,Directed,12220,1
zhivoff,brussinf,Directed,12226,2
notes_veterans,brussinf,Directed,12259,4
zogrussia1,brussinf,Directed,12267,2
wargonzo,voenacher,Directed,12292,20
infantmilitario,voenacher,Directed,12296,1
voenacher,voenacher,Directed,12298,6
voenkorKotenok,voenacher,Directed,12310,12
rusfleet,voenacher,Directed,12326,8
Andrafanaslive,voenacher,Directed,12333,6
epoddubny,voenacher,Directed,12340,115
strelkovii,voenacher,Directed,12358,5
adirect,voenacher,Directed,12359,1
RVvoenkor,voenacher,Directed,12361,37
aleksandr_skif,voenacher,Directed,12374,29
Sladkov_plus,voenacher,Directed,12376,28
brussinf,voenacher,Directed,12403,57
notes_veterans,voenacher,Directed,12452,14
zhivoff,voenacher,Directed,12546,6
comradepelevin,voenacher,Directed,12558,1
dva_majors,voenacher,Directed,12580,13
Alekhin_Telega,voenacher,Directed,12667,1
obshina_ru,voenacher,Directed,12682,1
kartezianec,voenacher,Directed,12689,2
infantmilitario,zhivoff,Directed,12711,15
wargonzo,zhivoff,Directed,12714,16
Andrafanaslive,zhivoff,Directed,12749,12
vladlentatarsky,zhivoff,Directed,12770,22
rybar,zhivoff,Directed,12800,49
Alekhin_Telega,zhivoff,Directed,12815,43
sashakots,zhivoff,Directed,12817,54
strelkovii,zhivoff,Directed,12835,11
RtrDonetsk,zhivoff,Directed,12854,8
voenkorKotenok,zhivoff,Directed,12863,22
drugoros_spb,zhivoff,Directed,12867,1
RVvoenkor,zhivoff,Directed,12868,68
ordinaryczarizm,zhivoff,Directed,12872,15
beard_tim,zhivoff,Directed,12875,5
voenacher,zhivoff,Directed,12885,23
juchkovsky,zhivoff,Directed,12898,7
epoddubny,zhivoff,Directed,12916,7
tsarkrest,zhivoff,Directed,12923,12
aleksandr_skif,zhivoff,Directed,12936,9
Sladkov_plus,zhivoff,Directed,12938,15
pgubarev,zhivoff,Directed,12952,4
rus_jansen,zhivoff,Directed,12976,8
rusfleet,zhivoff,Directed,13011,23
obshina_ru,zhivoff,Directed,13012,28
dva_majors,zhivoff,Directed,13027,102
georgy_fedorov,zhivoff,Directed,13065,2
ghost_of_novorossia,zhivoff,Directed,13094,5
rusich_army,zhivoff,Directed,13120,8
notes_veterans,zhivoff,Directed,13123,19
wargonzo,RtrDonetsk,Directed,13149,81
boriskorchevnikov,zhivoff,Directed,13191,2
rusjuche,zhivoff,Directed,13241,1
sashakots,RtrDonetsk,Directed,13246,191
blackcolonel2020,zhivoff,Directed,13253,2
rusich_army,Sladkov_plus,Directed,13266,161
grey_zone,zhivoff,Directed,13309,1
russia_and_anvil,zhivoff,Directed,13330,2
kvmalofeev,zhivoff,Directed,13339,3
R_Vestovoi,zhivoff,Directed,13368,3
zapiskitrad,zhivoff,Directed,13390,1
brussinf,zhivoff,Directed,13401,4
kartezianec,zhivoff,Directed,13414,3
der_kultur_kampf,zhivoff,Directed,13459,1
russdiary,zhivoff,Directed,13473,1
wargonzo,Sladkov_plus,Directed,13477,12
sashakots,zogrussia1,Directed,13496,4
brussinf,zogrussia1,Directed,13513,1
RVvoenkor,zogrussia1,Directed,13539,2
rusich_army,zogrussia1,Directed,13543,3
ordinaryczarizm,zogrussia1,Directed,13552,3
vladlentatarsky,Andrafanaslive,Directed,13588,70
rus_jansen,Andrafanaslive,Directed,13594,3
kartezianec,Andrafanaslive,Directed,13601,156
kvmalofeev,Andrafanaslive,Directed,13603,32
sashakots,Andrafanaslive,Directed,13604,25
spastv,Andrafanaslive,Directed,13646,368
rusfleet,Andrafanaslive,Directed,13671,5
romagolovanov,Andrafanaslive,Directed,13681,28
Agdchan,Andrafanaslive,Directed,13682,10
zhivoff,Andrafanaslive,Directed,13723,4
tsarkrest,Andrafanaslive,Directed,13771,3
rossia_3,Andrafanaslive,Directed,13772,1
rybar,Andrafanaslive,Directed,13806,16
o_andrey_tkachev,Andrafanaslive,Directed,13850,9
voenacher,Andrafanaslive,Directed,13870,13
