Id,Label,size,modularity_class,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Size
KRPrus52,КРП - Нижний Новгород,78,1,0,3,3,0,4,4,3
nazbol_sar,Другой Саранск,139,1,20,4,24,446,45,491,3.000643
inter_manufactory_77,ЦЕХ 77,239,1,0,15,15,0,137,137,3.001696
drugoros_vrn,Другой Воронеж,321,1,8,10,18,34,69,103,3.00256
uralpartisan,Уральский ПартиZан,373,1,13,10,23,48,86,134,3.003108
dr_kuban,Другая Кубань,382,1,13,12,25,174,153,327,3.003203
fabric80,Цех80,394,1,2,16,18,4,107,111,3.003329
nbstaroverov,Беспечный плотник Z,687,1,30,18,48,490,227,717,3.006416
molotov_perm,Молотов!,929,1,24,15,39,810,430,1240,3.008966
Protoinquisitor,Судья инквизиции,1178,4,2,4,6,8,63,71,3.011589
igorvezite,Цех52,1286,1,6,7,13,110,88,198,3.012727
heartlandfire,Хартленд,1539,0,17,6,23,46,10,56,3.015392
bunkerdayly,#будниБункера⚡️Z,1542,1,34,23,57,1413,818,2231,3.015424
RDS_official_smi,Русский Манифест | Пресса РДС,1889,4,46,4,50,1228,161,1389,3.01908
boris975,Борис Мышлявцев,1985,4,3,3,6,11,15,26,3.020091
ImashevNB,Уральский прищур Z Кирилл Имашев,2056,1,37,19,56,625,314,939,3.020839
new_totalis,Totalis,2496,1,45,19,64,1567,232,1799,3.025475
rossia_3,ЕСМ | РОССИЯ-Z,2647,0,38,12,50,626,228,854,3.027066
zverochan,ZVерства и тОчка. Свободу Лене Егоровой.,2784,1,30,4,34,176,24,200,3.028509
rusjuche,Русское чучхе,2798,1,36,24,60,699,791,1490,3.028656
mihailaksel,Михаил Аксель,3392,1,32,23,55,692,305,997,3.034914
drugoros_spb,ЛЕНИНГРИБ 🅉 (нацболы),3451,1,20,28,48,523,883,1406,3.035536
imperskiylegion1917,Имперский легион,3505,3,4,4,8,22,104,126,3.036105
Rus_imperia,Русское Имперское Движение,3864,3,39,8,47,495,45,540,3.039887
zapiskitrad,Zаписки традиционалиста,5169,0,10,5,15,70,149,219,3.053636
interbrigady2022,Интербригады 2022,6134,1,33,33,66,681,1495,2176,3.063803
chernaya100kitchen,Кухня черносотенца,6806,4,11,21,32,77,101,178,3.070883
RDS_Official_channel,РДС. РУССКОЕ ДВИЖЕНИЕ СТРЕЛКОВА,7494,4,31,9,40,1138,664,1802,3.078131
russdiary,РУССКИЙ ДНЕВНИК,8395,0,18,7,25,82,20,102,3.087624
R_Vestovoi,Вѣстовой 🇷🇺,10932,4,2,11,13,3,152,155,3.114352
georgy_fedorov,Федоров Здорового Человека,12289,4,7,14,21,21,264,285,3.128649
adirect,Прямое действие⚡Z,12949,1,47,38,85,2643,4216,6859,3.135602
der_kultur_kampf,Культурная война | Kulturkampf,13126,1,4,8,12,10,16,26,3.137467
juchkovsky,Александр Жучковский,13716,4,30,25,55,257,248,505,3.143683
KRPRus,Клуб рассерженных патриотов,14403,1,18,14,32,75,85,160,3.150921
rus_jansen,Янсен | Z,14837,4,22,17,39,87,46,133,3.155493
russia_and_anvil,Савва Федосеев,15946,1,22,27,49,83,176,259,3.167177
tsarkrest,ДВИЖЕНИЕ ЦАРСКИЙ КРЕСТ,20908,3,34,14,48,282,390,672,3.219454
Andrafanaslive,Афанасьев Z,21842,3,29,29,58,1176,792,1968,3.229294
comradepelevin,Александр Пелевин Z,22729,1,24,25,49,232,348,580,3.238639
kartezianec,Cogito ergo sum (канал архиепископа Саввы),23716,3,13,21,34,142,432,574,3.249038
nwindpro,Северный ветер,24015,4,4,10,14,6,61,67,3.252187
zogrussia1,ZOG 2.0,26617,5,5,3,8,13,5,18,3.279601
pgubarev,Рядовой Губарев,31872,4,22,21,43,116,124,240,3.334965
soldat_prav,СОЛДАТСКАЯ ПРАВДА,36764,4,38,18,56,802,974,1776,3.386504
ordinaryczarizm,Обыкновенный царизм,37892,1,5,32,37,6,228,234,3.398388
blackcolonel2020,"""Черный полковник"" В.Алкснис",41046,4,6,12,18,9,172,181,3.431617
rusfleet,Записки мичмана Птичкина,53568,4,20,33,53,126,208,334,3.563542
i_strelkov_2023,Мирослава Регинская (Свободу Стрелкову!),57589,4,13,27,40,39,782,821,3.605905
Agdchan,AGDchan,71403,0,30,24,54,995,376,1371,3.751442
spastv,Телеканал СПАС,73771,3,13,14,27,1343,673,2016,3.77639
romagolovanov,ГОЛОВАНОВ,83927,3,24,23,47,568,578,1146,3.883389
beard_tim,Синяя Z Борода,99116,1,51,32,83,1242,499,1741,4.043412
zhivoff,ЖИВОВ Z,117041,5,41,31,72,637,295,932,4.23226
boriskorchevnikov,Борис Корчевников,120690,3,14,16,30,397,990,1387,4.270704
o_andrey_tkachev,АНДРЕЙ ТКАЧЁВ,127639,3,18,13,31,44,102,146,4.343915
brussinf,Позывной Брюс,136023,5,14,22,36,281,488,769,4.432244
Alekhin_Telega,Роман Алехин,188824,5,13,24,37,133,443,576,4.988527
ghost_of_novorossia,ПриZрак Новороссии,199441,4,39,37,76,1242,765,2007,5.100383
RtrDonetsk,Репортёр Руденко V,232094,5,16,27,43,538,653,1191,5.444397
vladlentatarsky,Владлен Татарский,255094,5,34,43,77,1260,1412,2672,5.686713
infantmilitario,Милитарист,286187,5,7,24,31,23,444,467,6.014293
notes_veterans,ZАПИСКИ VЕТЕРАНА,358596,4,32,41,73,654,921,1575,6.777155
voenkorKotenok,Военкор Котенок,408401,5,38,44,82,2180,646,2826,7.301874
strelkovii,Стрелков Игорь Иванович,433253,4,27,33,60,600,302,902,7.563702
aleksandr_skif,Александр Ходаковский,499631,5,5,30,35,16,590,606,8.263025
grey_zone,GREY ZONE,547227,5,0,7,7,0,12,12,8.764471
obshina_ru,Русская Община ZOV,616283,3,26,19,45,428,324,752,9.492008
sashakots,Kotsnews,621646,5,30,49,79,2225,3605,5830,9.54851
kvmalofeev,Константин Малофеев,743128,0,2,15,17,13,453,466,10.82838
epoddubny,Поддубный |Z|О|V| edition,770819,5,22,35,57,1950,1608,3558,11.120117
voenacher,Повёрнутые на войне 🇷🇺,791544,5,26,35,61,2655,901,3556,11.338465
Sladkov_plus,Сладков+,919739,5,9,36,45,213,645,858,12.689059
wargonzo,WarGonzo,1032159,5,28,42,70,700,1577,2277,13.873457
dva_majors,Два майора,1178426,5,22,31,53,1503,1036,2539,15.414448
rusich_army,АРХАНГЕЛ СПЕЦНАЗА Z🇷🇺,1179493,5,13,24,37,133,1503,1636,15.425689
rybar,Рыбарь,1315743,5,27,36,63,2398,3294,5692,16.861147
RVvoenkor,Операция Z: Военкоры Русской Весны,1613675,5,20,36,56,200,372,572,20
